Last Name,First Name,Having the government issue additional debt to pay off all current outstanding student loans would be net regressive.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Having the government issue enough additional debt to pay off student loans up to a threshold, for borrowers whose income is below a certain level, could be progressive.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Extension of the suspension of payments on student loans after the end of the year would support the recovery more effectively than devoting equivalent resources to general income-based transfer payments.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,Would depend on how it's done. Yes lots of student debt among those earning more than 100K a year. So risk of handout to yuppies is there.,Agree,4,"Yes this would be much better. Student debt is a problem for low and middle income households, not those earning more than 100K or 150K.",Agree,4,"Unemployment benefits, aid to states and general stimulus would be more effective in the current pandemic environment."
Altonji,Joseph,Agree,8,College graduates and advanced degree holders have higher earnings along with student loans.,Agree,6,,Uncertain,5,
Auerbach,Alan,Agree,7,,Agree,7,,Disagree,5,
Autor,David,Strongly Agree,10,"Alongside my kids' student loans, I'd like the government to pay off my mortgage. If the latter idea shocks you, the first one should too",Agree,6,"This could create terrible incentives, both for labor supply and (bad) educational investments. Proceed with great caution",Disagree,6,General income-based transfer payments could always be used to pay student loans. That's the beauty of cash over in-kind transfers
Baicker,Katherine,Agree,3,,Agree,3,,Uncertain,3,
Banerjee,Abhijit,Agree,5,The answer depends on the financing of the  extra government debt. I am assuming that it will be financed like everything else,Agree,7,,Disagree,1,
Bertrand,Marianne,Uncertain,4,,Agree,5,,Disagree,4,
Brunnermeier,Markus,Uncertain,3,,Agree,8,,Uncertain,4,
Chetty,Raj,Agree,8,,Strongly Agree,9,,Disagree,7,
Chevalier,Judith,Agree,8,"While the Dynarski paper I cite is a few years old, the central finding that many people with substantial earnings have loans remains true.",Agree,5,There is evidence that extant income driven repayment plans are underutilized.Some form of ex post IDR strategy likely sensible. . ,Disagree,7,
Cutler,David,Uncertain,5,"This is a factual question, and I don't know the answer to it.",Strongly Agree,5,,Uncertain,5,
Deaton,Angus,Strongly Agree,8,,Agree,8,,Disagree,6,
Duffie,Darrell,Uncertain,1,Stanford MBAs have a lot of student debt. But have high human capital. I just don't know the cross section of borrowers well enough.,Agree,2,The question is so carefully hedged that it's hard to disagree!,Uncertain,1,"To me, that seems to require a very hard calculation."
Edlin,Aaron,Agree,7,College graduates earn more than nongraduates though presumably those who pay off loans or didn’t borrow and wouldn’t benefit earn even more,Agree,7,It would depend on the threshold. ,Disagree,7,Targeting aid to those who need it is most humane. That is probably also the best stimulus. Though stimulus doesn’t stop the pandemic
Eichengreen,Barry,Uncertain,5,,Agree,5,,Uncertain,5,
Einav,Liran,Uncertain,1,,Agree,1,,No Opinion,,
Fair,Ray,Uncertain,5,It depends on how the government debt will eventually be paid off.,Uncertain,5,"Again, it depends on how the government debt will eventually be paid off.  ",Disagree,5,
Finkelstein,Amy,Uncertain,5,,Strongly Agree,5,,Disagree,3,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
